Account ID,Client Name,Policy Type,Renewal Date,Annual Premium,Assigned Lead,Carrier,Current Status
EB-00001,TechFlow Solutions,Health,2024-10-15,425000,Sarah Jenkins,Aetna,Bound
EB-00002,Ironclad Manufacturing,Life,2024-11-01,85000,Marcus Thorne,MetLife,Proposal Presented
EB-00003,GreenLeaf Organics,Dental,2024-12-15,120000,Elena Rodriguez,Guardian,Underwriting
EB-00004,NorthStar Logistics,Health,2024-10-01,950000,David Wu,Blue Cross Blue Shield,Bound
EB-00005,Pinnacle Health,LTD,2024-11-15,62000,Linda Garter,Unum,Census Received
EB-00006,Blue Horizon Media,Health,2024-10-20,310000,Sarah Jenkins,UnitedHealthcare,Proposal Presented
EB-00007,Silver Oak Consulting,Vision,2024-12-01,28000,Marcus Thorne,Cigna,Discovery
EB-00008,Urban Edge Retail,Health,2024-11-30,540000,Elena Rodriguez,Kaiser Permanente,Underwriting
EB-00009,Quantum Systems,Life,2024-10-10,115000,David Wu,Principal,Bound
EB-00010,Heritage Hospitality,Health,2024-12-31,1200000,Linda Garter,Aetna,Discovery
EB-00011,Apex Financial,Dental,2024-11-10,92000,Sarah Jenkins,MetLife,Bound
EB-00012,Summit Education,Health,2024-10-05,275000,Marcus Thorne,Blue Cross Blue Shield,Underwriting
EB-00013,Riverbend Textiles,LTD,2024-12-20,48000,Elena Rodriguez,Unum,Census Received
EB-00014,Nova Biotech,Health,2024-11-15,880000,David Wu,Cigna,Proposal Presented
EB-00015,Global Freight,Vision,2024-10-25,34000,Linda Garter,Guardian,Bound
EB-00016,Pacific Coast Realty,Health,2024-12-10,410000,Sarah Jenkins,UnitedHealthcare,Underwriting
EB-00017,Evergreen Senior Living,Life,2024-11-05,150000,Marcus Thorne,MetLife,Proposal Presented
EB-00018,Catalyst Creative,Dental,2024-10-12,55000,Elena Rodriguez,Cigna,Bound
EB-00019,Sterling Legal,Health,2024-12-05,670000,David Wu,Aetna,Underwriting
EB-00020,Vanguard Security,LTD,2024-11-20,72000,Linda Garter,Unum,Proposal Presented
EB-00021,Pacific Coast Realty,STD,2024-10-27,1207292,Sarah Jenkins,Kaiser Permanente,Underwriting
EB-00022,Ironclad Manufacturing,Dental,2024-10-30,403281,Linda Garter,Aetna,Underwriting
EB-00023,Apex Financial,Vision,2024-10-24,1356383,Marcus Thorne,Aetna,Underwriting
