Client Name,Industry,Service Tier,Monthly Retainer Amount,Satisfaction Score,Most Useful Report,Open-Ended Feedback
Hops & Grain Brewing,Craft Brewery,Enterprise,8500,9,Cash Flow Forecast,The monthly insights provide immense value to our board.
Steel Edge Designs,Precision Metal Fab,Growth,4200,4,Inventory Variance,Communication is often too slow during peak season.
Oak & Iron Works,Custom Woodworking,Core,1500,10,COGS Breakdown,"Great value for the price, highly recommend."
Clear Glass Collective,Artisan Glass,Growth,3800,6,Budget vs Actual,The dashboard is a bit complicated to navigate.
Mountain Peak Distilling,Distillery,Enterprise,9200,8,Tax Liability Projection,Very professional and helpful team.
Riverside Textiles,Textile Mill,Core,1800,3,Burn Rate Analysis,Reporting is sometimes slow and needs more automation.
Modern Loft Furniture,Furniture Mfg,Growth,4500,7,Labor Efficiency Report,The reports are very helpful for our planning.
Catalyst Chem Co,Specialty Chemicals,Enterprise,7800,5,Inventory Variance,Process is too complicated for our small team.
Earth & Fire Pottery,Ceramics Studio,Core,1200,9,COGS Breakdown,Highly helpful staff but the cost is rising fast.
Precision Parts Ltd,Automotive Parts,Growth,5200,2,Budget vs Actual,We don't see the value in the Enterprise tier yet.
Amber Waves Brewing,Craft Brewery,Growth,4100,10,Cash Flow Forecast,The monthly insights provide immense value to our board.
Hardwood Heritage,Custom Woodworking,Core,1600,8,Labor Efficiency Report,Very professional and helpful team.
Ironclad Fab,Precision Metal Fab,Enterprise,8900,6,Tax Liability Projection,The reports are very helpful for our planning.
Stained Light Studio,Artisan Glass,Core,1400,4,Burn Rate Analysis,Reporting is sometimes slow and needs more automation.
Blue Ridge Spirits,Distillery,Growth,4800,9,Inventory Variance,"Great value for the price, highly recommend."
Woven Wonders,Textile Mill,Enterprise,8200,3,Budget vs Actual,The dashboard is a bit complicated to navigate.
Nordic Design House,Furniture Mfg,Growth,4600,7,COGS Breakdown,Highly helpful staff but the cost is rising fast.
Apex Chemical Lab,Specialty Chemicals,Core,1900,5,Cash Flow Forecast,Communication is often too slow during peak season.
Clay Formations,Ceramics Studio,Growth,3900,10,Inventory Variance,The monthly insights provide immense value to our board.
Gearhead Components,Automotive Parts,Enterprise,9500,6,Labor Efficiency Report,Process is too complicated for our small team.
Client 021,Precision Metal Fab,Enterprise,5113,2,Tax Liability Projection,Process is too complicated for our small team.
Client 022,Custom Woodworking,Core,7622,9,Cash Flow Forecast,The dashboard is a bit complicated to navigate.
Client 023,Furniture Mfg,Growth,8453,1,Cash Flow Forecast,"Great value for the price, highly recommend."
Client 024,Automotive Parts,Enterprise,6725,1,Inventory Variance,"Great value for the price, highly recommend."
Client 025,Specialty Chemicals,Growth,2605,7,Budget vs Actual,Process is too complicated for our small team.
Client 026,Automotive Parts,Enterprise,6563,4,COGS Breakdown,Very professional and helpful team.
Client 027,Specialty Chemicals,Enterprise,2455,4,Labor Efficiency Report,Highly helpful staff but the cost is rising fast.
Client 028,Automotive Parts,Core,2528,7,Budget vs Actual,Reporting is sometimes slow and needs more automation.
Client 029,Precision Metal Fab,Enterprise,2159,7,Inventory Variance,The dashboard is a bit complicated to navigate.
Client 030,Textile Mill,Core,2524,4,Labor Efficiency Report,Very professional and helpful team.
Client 031,Craft Brewery,Core,4976,8,Labor Efficiency Report,Reporting is sometimes slow and needs more automation.
Client 032,Precision Metal Fab,Enterprise,4421,6,COGS Breakdown,Communication is often too slow during peak season.
Client 033,Precision Metal Fab,Enterprise,5160,1,Inventory Variance,We don't see the value in the Enterprise tier yet.
Client 034,Artisan Glass,Growth,5044,7,Burn Rate Analysis,The monthly insights provide immense value to our board.
Client 035,Textile Mill,Growth,5167,1,Budget vs Actual,Highly helpful staff but the cost is rising fast.
Client 036,Artisan Glass,Core,6845,5,Labor Efficiency Report,The monthly insights provide immense value to our board.
Client 037,Textile Mill,Core,8803,5,Burn Rate Analysis,The dashboard is a bit complicated to navigate.
Client 038,Distillery,Core,2138,5,Labor Efficiency Report,Highly helpful staff but the cost is rising fast.
Client 039,Automotive Parts,Enterprise,2987,7,Inventory Variance,Reporting is sometimes slow and needs more automation.
Client 040,Artisan Glass,Enterprise,8822,3,COGS Breakdown,The reports are very helpful for our planning.
Client 041,Artisan Glass,Growth,6483,7,Inventory Variance,The reports are very helpful for our planning.
Client 042,Furniture Mfg,Core,4655,10,Burn Rate Analysis,The dashboard is a bit complicated to navigate.
Client 043,Specialty Chemicals,Enterprise,4467,8,Tax Liability Projection,Highly helpful staff but the cost is rising fast.
Client 044,Ceramics Studio,Growth,5279,6,Tax Liability Projection,Reporting is sometimes slow and needs more automation.
Client 045,Artisan Glass,Growth,7944,9,Tax Liability Projection,The reports are very helpful for our planning.
Client 046,Textile Mill,Enterprise,3171,6,COGS Breakdown,Very professional and helpful team.
Client 047,Ceramics Studio,Enterprise,8183,8,Budget vs Actual,Very professional and helpful team.
Client 048,Precision Metal Fab,Enterprise,2653,2,Cash Flow Forecast,The dashboard is a bit complicated to navigate.
Client 049,Furniture Mfg,Core,4670,8,COGS Breakdown,The dashboard is a bit complicated to navigate.
Client 050,Custom Woodworking,Core,2523,1,Burn Rate Analysis,The monthly insights provide immense value to our board.
Client 051,Textile Mill,Core,4167,10,Burn Rate Analysis,The reports are very helpful for our planning.
Client 052,Custom Woodworking,Core,4413,3,Inventory Variance,The monthly insights provide immense value to our board.
Client 053,Ceramics Studio,Core,6923,1,COGS Breakdown,Reporting is sometimes slow and needs more automation.
Client 054,Automotive Parts,Growth,7480,6,Labor Efficiency Report,The reports are very helpful for our planning.
Client 055,Specialty Chemicals,Core,6821,1,Cash Flow Forecast,The monthly insights provide immense value to our board.
Client 056,Specialty Chemicals,Growth,7659,5,COGS Breakdown,Process is too complicated for our small team.
Client 057,Textile Mill,Enterprise,1482,10,Burn Rate Analysis,Process is too complicated for our small team.
Client 058,Ceramics Studio,Core,1947,9,Cash Flow Forecast,Reporting is sometimes slow and needs more automation.
Client 059,Furniture Mfg,Growth,6485,3,Budget vs Actual,Communication is often too slow during peak season.
